Reference	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Current (A)	Q	DC Resistance (ohm)	Tolerance	Core Material	Price												
L	1.140000e-008	1.200000e-008	1.260000e-008	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1583-1-ND	MLK0603L12NJT000	TDK Corporation	1.500000e-001	6 @ 300MHz	1.000000e+000	±5%	Ceramic	0.08000												
L	9.500000e-009	1.000000e-008	1.050000e-008	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1582-1-ND	MLK0603L10NJT000	TDK Corporation	2.000000e-001	6 @ 300MHz	8.000000e-001	±5%	Ceramic	0.08000												
L	0.000000e+000	2.000000e-010	4.000000e-010	-2.000000e-010	2.000000e-010	0	0201 (0603 Metric)	http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/MLG0603Q.pdf	445-6250-1-ND	MLG0603Q0N2C	TDK Corporation	6.000000e-001	-	1.000000e-001	±0.2nH	Ceramic	0.27000												
L	1.425000e-008	1.500000e-008	1.575000e-008	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg.pdf	445-3109-1-ND	MLG0603S15NJT000	TDK Corporation	1.800000e-001	6 @ 100MHz	1.100000e+000	±5%	Ceramic	0.08000												
L	5.300000e-009	5.600000e-009	5.900000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1579-1-ND	MLK0603L5N6ST000	TDK Corporation	2.000000e-001	6 @ 300MHz	6.000000e-001	±0.3nH	Ceramic	0.08000												
L	3.000000e-009	3.300000e-009	3.600000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1576-1-ND	MLK0603L3N3ST000	TDK Corporation	2.000000e-001	6 @ 300MHz	4.000000e-001	±0.3nH	Ceramic	0.08000												
L	4.000000e-009	4.300000e-009	4.600000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-6347-1-ND	MLK0603L4N3ST000	TDK Corporation	2.000000e-001	6 @ 300MHz	5.000000e-001	±0.3nH	Ceramic	0.08000												
L	1.710000e-008	1.800000e-008	1.890000e-008	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1585-1-ND	MLK0603L18NJT000	TDK Corporation	1.000000e-001	6 @ 300MHz	1.300000e+000	±5%	Ceramic	0.08000												
L	3.000000e-009	3.300000e-009	3.600000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg.pdf	445-3095-1-ND	MLG0603S3N3ST000	TDK Corporation	3.000000e-001	4 @ 100MHz	3.500000e-001	±0.3nH	Ceramic	0.08000												
L	3.000000e-010	5.000000e-010	7.000000e-010	-2.000000e-010	2.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg.pdf	445-6294-1-ND	MLG0603S0N5CT000	TDK Corporation	6.000000e-001	-	1.000000e-001	±0.2nH	Ceramic	0.08000												
L	3.135000e-008	3.300000e-008	3.465000e-008	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-6344-1-ND	MLK0603L33NJT000	TDK Corporation	1.000000e-001	6 @ 300MHz	1.800000e+000	±5%	Ceramic	0.08000												
L	1.500000e-009	1.800000e-009	2.100000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1573-1-ND	MLK0603L1N8ST000	TDK Corporation	3.000000e-001	6 @ 300MHz	2.700000e-001	±0.3nH	Ceramic	0.08000												
